little brown bat	59463 9434 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Myotis myotis	51298 9434 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Miniopterus natalensis	291302 9432 981671 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Chinese hamster	10029 10028 10026 337677 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Nannospalax ehrenbergi	30637 30636 10061 337664 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Ursus arctos horribilis	116960 9644 9639 9632 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
domestic cat	9685 9682 338152 9681 379583 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Malayan pangolin	9974 9973 9972 9971 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
black rat	10117 10114 39107 10066 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Hawaiian monk seal	29088 1907176 9709 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Ord's kangaroo rat	10020 10016 38662 10015 1963757 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Damara mole-rat	885580 423606 10167 33550 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
house mouse	10090 862507 10088 39107 10066 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
big brown bat	29078 29077 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Ryukyu mouse	10089 862507 10088 39107 10066 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
western European hedgehog	9365 9364 30577 9363 9362 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Grammomys surdaster	491861 121588 39107 10066 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
giant panda	9646 9645 9632 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Brandt's bat	109478 9434 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Kuhl's pipistrelle	59472 27671 9431 30560 9397 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
shrew mouse	10093 862508 10088 39107 10066 337687 1963758 9989 314147 314146 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
leopard	9691 9688 338153 9681 379583 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
Reeves' muntjac	9886 9885 34877 9850 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
muntjak	9888 9885 34877 9850 35500 9845 91561 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
